0.5885  0.0845
0.7189  0.0975
0.9357  0.148
1.0824  0.128
2.6351  0.66
2.5430  0.6145
2.3983  0.575
2.2130  0.507
2.0014  0.44
1.7784  0.367
1.5579  0.3
1.3511  0.249
2.0256  0.44
2.3185  0.527
2.6289  0.645
2.9412  0.744
3.2365  0.838
3.4944  0.955
3.6952  1.05
3.8229  1.1
1.7611  0.35
1.5312  0.29
1.3379  0.235
1.3379  0.25
1.5312  0.312
1.7611  0.385
0.7258  0.105
0.8523  0.134
0.9949  0.166
1.1485  0.205
1.3051  0.248
1.4547  0.295
1.5864  0.333
1.6894  0.37
1.7552  0.391
0.6182  0.086
0.5296  0.0712
0.4588  0.06
0.4037  0.0519
0.3459  0.0443
0.6112  0.094
0.5795  0.0875
0.5301  0.0785
0.4344  0.0615
0.3305  0.046
0.2365  0.0345
0.1633  0.0259
0.1127  0.0202
0.0897  0.019
0.0667  0.0167
0.0533  0.015
0.0533  0.0135
7.0302  2.67
6.7942  2.545
6.4231  2.345
5.9468  2.07
5.4016  1.805
4.8254  1.54
4.2531  1.263
3.7134  1.037
3.2265  0.852
2.8035  0.672
2.4480  0.535
2.1580  0.437
