0.6112  0.0765
0.5795  0.0728
0.5301  0.0664
0.4683  0.0584
0.4344  0.0547
0.3305  0.0438
0.2365  0.0354
0.1633  0.0295
0.1633  0.0316
0.1127  0.0278
0.0897  0.0263
0.0667  0.0251
0.0533  0.0243
0.7258  0.0954
0.6182  0.0762
0.5296  0.0649
0.4588  0.0570
0.4037  0.0513
0.3459  0.0458
1.7552  0.3752
1.6894  0.3502
1.5864  0.3140
1.4547  0.2712
1.3051  0.2260
1.1485  0.1853
0.9949  0.1496
0.8523  0.1208
0.7258  0.0975
2.6351  0.6771
2.5430  0.6353
2.3983  0.5804
2.2130  0.5070
2.0013  0.4311
1.7784  0.3518
1.5579  0.2890
1.3511  0.2320
1.0824  0.1660
0.9357  0.1343
0.7189  0.0940
0.5885  0.0747
2.9412  0.7500
2.6289  0.6440
2.3185  0.5388
2.0256  0.4378
1.7611  0.3500
1.5312  0.2843
1.3379  0.2295
0.9204  0.1310
3.8229  1.2296
3.6952  1.1640
3.4944  1.0720
3.2365  0.9403
2.9412  0.8074
7.0302  3.3850
6.7942  3.1970
6.4231  2.9440
5.9468  2.6090
5.4016  2.2436
4.8254  1.9010
4.2531  1.5520
3.7134  1.2378
3.2265  0.9811
2.8035  0.7865
15.9517 13.8650
11.1346 7.0900
18.5843 17.2500
18.3419 16.7610
17.9524 16.2330
17.4364 15.6260
16.8197 14.8240
16.1316 13.8850
15.4023 12.9250
14.6606 11.8690
13.9331 10.7920
13.2418 9.8730
12.6050 8.9530
12.0363 8.2680
11.5452 7.6220
10.9676 6.8200
